NAME                                                            VERSION       TYPE 
@jest/globals                                                   27.1.1        npm   
@jest/reporters                                                 27.1.1        npm   
@jest/source-map                                                27.0.6        npm   
@jest/test-result                                               27.1.1        npm   
@jest/test-sequencer                                            27.1.1        npm   
@jest/transform                                                 27.1.1        npm   
@jest/types                                                     27.1.1        npm   
@nodelib/fs.scandir                                             2.1.5         npm   
@nodelib/fs.stat                                                2.0.5         npm   
@nodelib/fs.walk                                                1.2.8         npm   
@sideway/address                                                4.1.2         npm   
@sideway/formula                                                3.0.0         npm   
@sideway/pinpoint                                               2.0.0         npm   
@sindresorhus/df                                                3.1.1         npm   
@sindresorhus/is                                                0.14.0        npm   
@sinonjs/commons                                                1.8.3         npm   
@sinonjs/fake-timers                                            7.1.2         npm   
@stroncium/procfs                                               1.2.1         npm   
@szmarczak/http-timer                                           1.1.2         npm   
@tootallnate/once                                               1.1.2         npm   
@ts-morph/common                                                0.5.2         npm   
@types/babel__core                                              7.1.16        npm   
@types/babel__generator                                         7.6.3         npm   
@types/babel__template                                          7.4.1         npm   
@types/babel__traverse                                          7.14.2        npm   
@types/eslint                                                   7.28.0        npm   
@types/eslint-scope                                             3.7.1         npm   
@types/estree                                                   0.0.50        npm   
@types/graceful-fs                                              4.1.5         npm   
@types/istanbul-lib-coverage                                    2.0.3         npm   
@types/istanbul-lib-report                                      3.0.0         npm   
@types/istanbul-reports                                         3.0.1         npm   
@types/jest                                                     27.0.1        npm   
@types/json-schema                                              7.0.9         npm   
@types/json5                                                    0.0.29        npm   
@types/minimatch                                                3.0.5         npm   
@types/node                                                     16.7.13       npm   
@types/parse-json                                               4.0.0         npm   
@types/prettier                                                 2.3.2         npm   
@types/stack-utils                                              2.0.1         npm   
@types/yargs                                                    16.0.4        npm   
@types/yargs-parser                                             20.2.1        npm   
@typescript-eslint/eslint-plugin                                4.31.0        npm   
@typescript-eslint/experimental-utils                           4.31.0        npm   
@typescript-eslint/parser                                       4.31.0        npm   
@typescript-eslint/scope-manager                                4.31.0        npm   
@typescript-eslint/types                                        4.31.0        npm   
@typescript-eslint/typescript-estree                            4.31.0        npm   
@typescript-eslint/visitor-keys                                 4.31.0        npm   
@ungap/promise-all-settled                                      1.1.2         npm   
@webassemblyjs/ast                                              1.11.1        npm   
@webassemblyjs/floating-point-hex-parser                        1.11.1        npm   
@webassemblyjs/helper-api-error                                 1.11.1        npm   
@webassemblyjs/helper-buffer                                    1.11.1        npm   
@webassemblyjs/helper-numbers                                   1.11.1        npm   
@webassemblyjs/helper-wasm-bytecode                             1.11.1        npm   
@webassemblyjs/helper-wasm-section                              1.11.1        npm   
@webassemblyjs/ieee754                                          1.11.1        npm   
@webassemblyjs/leb128                                           1.11.1        npm   
@webassemblyjs/utf8                                             1.11.1        npm   
@webassemblyjs/wasm-edit                                        1.11.1        npm   
@webassemblyjs/wasm-gen                                         1.11.1        npm   
@webassemblyjs/wasm-opt                                         1.11.1        npm   
@webassemblyjs/wasm-parser                                      1.11.1        npm   
@webassemblyjs/wast-printer                                     1.11.1        npm   
@webpack-cli/configtest                                         1.0.4         npm   
@webpack-cli/info                                               1.3.0         npm   
@webpack-cli/serve                                              1.5.2         npm   
@xtuc/ieee754                                                   1.2.0         npm   
@xtuc/long                                                      4.2.2         npm   
abab                                                            2.0.5         npm   
acorn                                                           7.4.1         npm   
acorn-globals                                                   6.0.0         npm   
acorn-jsx                                                       5.3.2         npm   
acorn-walk                                                      7.2.0         npm   
agent-base                                                      6.0.2         npm   
aggregate-error                                                 3.1.0         npm   
ajv                                                             6.12.6        npm   
ajv-keywords                                                    3.5.2         npm   
align-text                                                      0.1.4         npm   
ansi-align                                                      3.0.0         npm   
ansi-colors                                                     4.1.1         npm   
ansi-escapes                                                    4.3.2         npm   
ansi-regex                                                      2.1.1         npm   
ansi-regex                                                      5.0.0         npm   
ansi-styles                                                     2.2.1         npm   
ansi-styles                                                     3.2.1         npm   
anymatch                                                        1.3.2         npm   
anymatch                                                        3.1.2         npm   
argparse                                                        1.0.10        npm   
args                                                            5.0.1         npm   
arkit                                                           1.6.4         npm   
arr-diff                                                        2.0.0         npm   
arr-diff                                                        4.0.0         npm   
arr-flatten                                                     1.1.0         npm   
arr-union                                                       3.1.0         npm   
array-differ                                                    3.0.0         npm   
array-find-index                                                1.0.2         npm   
array-union                                                     2.1.0         npm   
array-uniq                                                      1.0.3         npm   
array-unique                                                    0.2.1         npm   
array-unique                                                    0.3.2         npm   
arrify                                                          2.0.1         npm   
assign-symbols                                                  1.0.0         npm   
astral-regex                                                    2.0.0         npm   
async-each                                                      1.0.3         npm   
asynckit                                                        0.4.0         npm   
at-least-node                                                   1.0.0         npm   
atob                                                            2.1.2         npm   
atomic-sleep                                                    1.0.0         npm   
babel-cli                                                       6.26.0        npm   
babel-code-frame                                                6.26.0        npm   
babel-core                                                      6.26.0        npm   
babel-generator                                                 6.26.1        npm   
babel-helper-builder-binary-assignment-operator-visitor         6.24.1        npm   
babel-helper-call-delegate                                      6.24.1        npm   
babel-helper-define-map                                         6.26.0        npm   
babel-helper-explode-assignable-expression                      6.24.1        npm   
babel-helper-function-name                                      6.24.1        npm   
babel-helper-get-function-arity                                 6.24.1        npm   
babel-helper-hoist-variables                                    6.24.1        npm   
babel-helper-optimise-call-expression                           6.24.1        npm   
babel-helper-regex                                              6.26.0        npm   
babel-helper-remap-async-to-generator                           6.24.1        npm   
babel-helper-replace-supers                                     6.24.1        npm   
babel-helpers                                                   6.24.1        npm   
babel-jest                                                      27.1.1        npm   
babel-loader                                                    8.2.2         npm   
babel-messages                                                  6.23.0        npm   
babel-plugin-check-es2015-constants                             6.22.0        npm   
babel-plugin-dynamic-import-node                                2.3.3         npm   
babel-plugin-external-helpers                                   6.22.0        npm   
babel-plugin-istanbul                                           6.0.0         npm   
babel-plugin-jest-hoist                                         27.0.6        npm   
babel-plugin-polyfill-corejs2                                   0.2.2         npm   
babel-plugin-polyfill-corejs3                                   0.2.4         npm   
babel-plugin-polyfill-regenerator                               0.2.2         npm   
babel-plugin-syntax-async-functions                             6.13.0        npm   
babel-plugin-syntax-exponentiation-operator                     6.13.0        npm   
babel-plugin-syntax-trailing-function-commas                    6.22.0        npm   
babel-plugin-transform-async-to-generator                       6.24.1        npm   
babel-plugin-transform-es2015-arrow-functions                   6.22.0        npm   
babel-plugin-transform-es2015-block-scoped-functions            6.22.0        npm   
babel-plugin-transform-es2015-block-scoping                     6.26.0        npm   
babel-plugin-transform-es2015-classes                           6.24.1        npm   
babel-plugin-transform-es2015-computed-properties               6.24.1        npm   
babel-plugin-transform-es2015-destructuring                     6.23.0        npm   
babel-plugin-transform-es2015-duplicate-keys                    6.24.1        npm   
babel-plugin-transform-es2015-for-of                            6.23.0        npm   
babel-plugin-transform-es2015-function-name                     6.24.1        npm   
babel-plugin-transform-es2015-literals                          6.22.0        npm   
babel-plugin-transform-es2015-modules-amd                       6.24.1        npm   
